country,year,applications
United States,1960,63090
United States,1961,66335
United States,1962,66335
United States,1963,66715
United States,1964,67013
United States,1965,72317
United States,1966,66855
United States,1967,64118
United States,1968,67180
United States,1969,71008
United States,1970,72343
United States,1971,71089
United States,1972,65943
United States,1973,66935
United States,1974,64093
United States,1975,64445
United States,1976,65050
United States,1977,62863
United States,1978,61441
United States,1979,60535
United States,1980,62098
United States,1981,62404
United States,1982,63316
United States,1983,59391
United States,1984,61841
United States,1985,63673
United States,1986,65195
United States,1987,68315
United States,1988,75192
United States,1989,82370
United States,1990,90643
United States,1991,87955
United States,1992,92425
United States,1993,99955
United States,1994,107233
United States,1995,123962
United States,1996,106892
United States,1997,119214
United States,1998,134733
United States,1999,149251
United States,2000,164795
United States,2001,177513
United States,2002,184245
United States,2003,188941
United States,2004,189536
United States,2005,207867
United States,2006,221784
United States,2007,241347
United States,2008,231588
United States,2009,224912
United States,2010,241977
United States,2011,247750
United States,2012,268782
Japan,1960,53876
Japan,1961,53876
Japan,1962,53876
Japan,1963,53876
Japan,1964,55556
Japan,1965,60796
Japan,1966,62962
Japan,1967,61721
Japan,1968,71114
Japan,1969,77132
Japan,1970,100513
Japan,1971,78425
Japan,1972,101328
Japan,1973,115221
Japan,1974,121509
Japan,1975,135118
Japan,1976,135762
Japan,1977,135991
Japan,1978,141517
Japan,1979,150623
Japan,1980,165730
Japan,1981,165730
Japan,1982,165730
Japan,1983,227708
Japan,1984,256195
Japan,1985,274348
Japan,1986,290132
Japan,1987,310908
Japan,1988,308775
Japan,1989,317353
Japan,1990,332952
Japan,1991,335564
Japan,1992,337498
Japan,1993,331774
Japan,1994,319261
Japan,1995,333770
Japan,1996,339045
Japan,1997,349211
Japan,1998,357379
Japan,1999,357531
Japan,2000,384201
Japan,2001,382815
Japan,2002,365204
Japan,2003,358184
Japan,2004,368416
Japan,2005,367960
Japan,2006,347060
Japan,2007,333498
Japan,2008,330110
Japan,2009,295315
Japan,2010,290081
Japan,2011,287580
Japan,2012,287013
United Kingdom,1960,24300
United Kingdom,1961,24300
United Kingdom,1962,24300
United Kingdom,1963,24300
United Kingdom,1964,23963
United Kingdom,1965,24274
United Kingdom,1966,14206
United Kingdom,1967,25786
United Kingdom,1968,26711
United Kingdom,1969,25904
United Kingdom,1970,25227
United Kingdom,1971,24771
United Kingdom,1972,24337
United Kingdom,1973,22472
United Kingdom,1974,20545
United Kingdom,1975,20842
United Kingdom,1976,21797
United Kingdom,1977,21114
United Kingdom,1978,19384
United Kingdom,1979,19468
United Kingdom,1980,19612
United Kingdom,1981,20808
United Kingdom,1982,20530
United Kingdom,1983,19893
United Kingdom,1984,19093
United Kingdom,1985,19672
United Kingdom,1986,20040
United Kingdom,1987,19945
United Kingdom,1988,20536
United Kingdom,1989,19732
United Kingdom,1990,19310
United Kingdom,1991,19230
United Kingdom,1992,18848
United Kingdom,1993,18727
United Kingdom,1994,18384
United Kingdom,1995,18630
United Kingdom,1996,18184
United Kingdom,1997,17938
United Kingdom,1998,19530
United Kingdom,1999,21333
United Kingdom,2000,22050
United Kingdom,2001,21423
United Kingdom,2002,20624
United Kingdom,2003,20426
United Kingdom,2004,19178
United Kingdom,2005,17833
United Kingdom,2006,17484
United Kingdom,2007,17375
United Kingdom,2008,16523
United Kingdom,2009,15985
United Kingdom,2010,15490
United Kingdom,2011,15343
United Kingdom,2012,15370
France,1960,15825
France,1961,15825
France,1962,15825
France,1963,15825
